paper_id;Title;Keywords;Abstract;year;Session;
11;Single Camera Masked Face Identification;Covid-19, face detection, face recognition, YOLOv3, RetinaFace, VGGFace2;In light of the novel Covid-19 pandemic, wearing masks has been declared mandatory in several institutions and public places for its widespread prevention and public health safety. Under given circumstances, person identification for security purposes including smart-phones face unlock has been a challenging task since the previous practices including both the human authentication by a person as well as by face recognition systems have heavily relied on complete facial features. However, the emergence of large datasets of masked images led to the rapid development of occluded face detection techniques. This paper focuses on single camera masked face detection and identification via the following two approaches: (i) single-step pre-trained YOLO-face/trained YOLOv3 model on the set of known individuals;2020;Computer Vision (m6);
12;Public Dataset of Parking Lot Videos for Computational Vision Applied to Surveillance;Dataset creation, surveillance, object detection, computational vision, smart cities, YOLO, deep learning;In this work, we propose a new dataset, the UFPArk, which consists of a selection of video clips based on a surveillance camera’s footage throughout a day. The aforementioned dataset is relevant to areas such as computer vision-based object detection, human behavior detection and Internet of Things (IoT) applications, which gained momentum with recent Deep Learning (DL) breakthroughs. To validate our dataset, we conduct some experiments that illustrate the relevance of this effort and its applicability in academic and commercial environments.;2020;Computer Vision (m6);
13;Low-Rank Sparse Tensor Approximations for Large High-Resolution Videos;Tensor decomposition, CP decomposition, PCA;Tensor decomposition techniques are becoming increasingly important in processing videos with large sizes and dimensions. Under the framework of CANDECOMP/PARAFAC decomposition (CPD), this work studies low-rank sparse tensor approximations (LRSTAs) to higher-order tensors. Both theoretical and practical properties are evaluated for LRSTAs to represent large high-resolution videos. The evaluation brings three major contributions of this work. Firstly, the theoretical connection between CPD for high-order tensors and traditional singular value decomposition (SVD) for matrices are established, and the tensor rank for traditional SVD is defined. This provides a theoretical basis to compare tensor-based approach against matrix-based approach under the framework of tensor decompositions. Secondly, the non-orthogonality of CPD and its implications are revealed. The solution set of an LRSTA can only be used as a whole. Thirdly, a computationally efficient algorithm is developed. Its practical properties are also investigated in object detection and recognition in high-resolution videos. The results of the experiments showed that the proposed algorithm can handle large high-resolution videos very efficiently in terms of memory allocation. Results also revealed that commonly used total variations may not be a good evaluation metric for real world applications in computer vision. LRSTAs should be evaluated using the end goal of the applications, such as the accuracy of object detection and recognition.;2020;Computer Vision (m6);
14;MaskedFusion: Mask-based 6D Object Pose Estimation;;MaskedFusion is a framework to estimate the 6D pose of objects using RGB-D data, with an architecture that leverages multiple sub-tasks in a pipeline to achieve accurate 6D poses. 6D pose estimation is an open challenge due to complex world objects and many possible problems when capturing data from the real world, e.g., occlusions, truncations, and noise in the data. Achieving accurate 6D poses will improve results in other open problems like robot grasping or positioning objects in augmented reality. MaskedFusion improves the state-of-the-art by using object masks to eliminate non-relevant data. With the inclusion of the masks on the neural network that estimates the 6D pose of an object we also have features that represent the object shape. MaskedFusion is a modular pipeline where each sub-task can have different methods that achieve the objective. MaskedFusion achieved 97.3% on average using the ADD metric on the LineMOD dataset and 93.3% using the ADD-S AUC metric on YCB-Video Dataset, which is an improvement, compared to the state-of-the-art methods.;2020;Computer Vision (m6);
15;Neural Architecture Search for Automotive Grid Fusion Networks Under Embedded Hardware Constraints;neural architecture search, sensor fusion, convolutional neural network;The goal of automotive sensor fusion is to generate an environmental model with low-cost, mass-produced sensors-typically camera and radar. The central fusion controller needs sophisticated post-processing algorithms to achieve this goal despite extensive pre-processing on the sensor side. Recent advances show the capabilities of deep convolutional auto-encoders for sensor fusion but are still limited to high-performance hardware. Limited memory and processing capabilities of embedded devices lead to the multi-objective optimization problem addressed in this work. The proposed evolutionary neural architecture search is configured to find novel sensor fusion network architectures optimized for embedded hardware. The discovered encoding and decoding cells improve fusion performance compared to that of corresponding cells from literature. These lightweight network architectures allow the deployment on constrained embedded devices, thus leverage environmental perception of level 2/2+ automated cars.;2020;Applications of Neural Network (e14);
16;Harmonic Structure-Based Neural Network Model for Music Pitch Detection;deep learning, music pitch detection, sparse convolution;Pitched music notes are characterized by a harmonic structure. That is, the waveform of each note is composed of a number of sinusoids with different frequencies. Among these frequencies, the lowest is called the pitch or the fundamental frequency of the note, and all the others are integer multiples of the pitch and referred to as the harmonics of the note. In this paper we propose a neural network model for pitch detection that detects the active pitches present in a music recording. The model first uses conventional convolution whose receptive field is continuous to capture local frequency patterns in the spectrogram of the recording, and then uses sparse convolution with discontinuous receptive field to capture global harmonic frequency patterns. When the MAPS dataset is used both for training and for test, the model outperforms all existing models by large margins. When the MAESTRO dataset is used for training and the MAPS dataset is used for test, the model achieves the state-of-the-art performance as well.;2020;Applications of Neural Network (e14);
17;From Quantitative Analysis to Synthesis of Efficient Binary Neural Networks;Convolutional Neural Networks, Binary Neural Networks, Quantization, Energy Efficiency;Binary Neural Networks (BNNs) offer an effective way to slash the cost of computation and memory accesses in inference. Recently, a plurality of ideas has been proposed, some of which are complementary while others are incompatible. This work presents a thorough review of state-of-the-art methods and an analysis of their computational cost based on the energy consumption of fixed-point, ternary and binary MAC vector operations. We derive an approach on how to systematically design a cost-efficient BNN. Our quantized LeNet and VGGNet architectures highlight the benefit of prudent capacity augmentation, with layer-wise ternarization providing best improvement of accuracy over μJ/dassificatíon in BNNs;2020;Applications of Neural Network (e14);
18;Analysis of Generalizability of Deep Neural Networks Based on the Complexity of Decision Boundary;complexity of decision boundary, generalization ability, deep neural networks, network generalizability, adversarial examples;For supervised learning models, the analysis of generalization ability (generalizability) is vital because the generalizability expresses how well a model will perform on new data. Traditional generalization measures, such as the VC dimension, do not apply to deep neural network (DNN) models. Thus, new theories to explain the generalizability of DNNs are required. In this study, we hypothesize that the DNN with a simpler decision boundary has better generalizability by the law of parsimony (Occam's Razor). We create the decision boundary complexity (DBC) score to define and measure the complexity of decision boundary of DNNs. The idea of the DBC score is to generate data points (called adversarial examples) on or near the decision boundary. Our new approach then measures the complexity of the boundary using the entropy of the eigenvalues of those data. The method works equally well for high-dimensional data. We use training data and the trained model to compute the DBC score. And, the ground truth for a model's generalizability is its test accuracy. Experiments based on the DBC score have verified our hypothesis. The DBC is shown to provide an effective method to measure the complexity of a decision boundary and gives a quantitative measure of the generalizability of DNNs.;2020;Applications of Neural Network (e14);
19;Neural Data Augmentation Techniques for Time Series Data and its Benefits;time series classification, adversarial training, gradient based adversarial attacks;Exploring adversarial attacks and studying their effects on machine learning algorithms has been of interest to researchers. Deep neural networks working with time series data have received lesser interest compared to their image counterparts in this context. In a recent finding, it has been revealed that current state-of-the-art deep learning time series classifiers are vulnerable to adversarial attacks. In this paper, we introduce neural data augmentation techniques and show that classifier trained with such augmented data obtains state-of-the-art classification accuracy as well as adversarial accuracy against Fast Gradient Sign Method (FGSM) and Basic Iterative Method (BIM) on various time series benchmarks.;2020;Applications of Neural Network (e14);
20;Verifying Artificial Neural Network Classifier Performance Using Dataset Dissimilarity Measures;Machine Learning, Verification and Validation, Autonomous Systems, Dataset Dissimilarity, Domain Drift;The specification and verification of algorithms is vital for safety-critical autonomous systems which incorporate deep learning elements. In this paper, we introduce a novel measure for quantifying the dissimilarity between the datasets used for training ANN-based image classification algorithms, and the test datasets used for verifying and evaluating classifier performance. The novel dissimilarity measure is defined in terms of each neuron's distribution of output values during training. This measure and its related variants, allow performance metrics, such as accuracy, to be placed into context by characterizing the test datasets employed for classifier evaluation. A system-level requirement could specify the permitted form of the functional relationship between classifier performance and the dissimilarity measures - placing demands on the classifier's capability to generalize to data progressively more distant from the training dataset;2020;Applications of Neural Network (e14);
21;Deep neural network for load forecasting centred on architecture evolution;Neural architecture search, deep neural networks, evolutionary algorithms, short-term load forecasting, residential load forecasting;Nowadays, electricity demand forecasting is critical for electric utility companies. Accurate residential load forecasting plays an essential role as an individual component for integrated areas such as neighborhood load consumption. Short-term load forecasting can help electric utility companies reduce waste because electric power is expensive to store. This paper proposes a novel method to evolve deep neural networks for time series forecasting applied to residential load forecasting. The approach centres its efforts on the neural network architecture during the evolution. Then, the model weights are adjusted using an evolutionary optimization technique to tune the model performance automatically. Experimental results on a large dataset containing hourly load consumption of a residence in London, Ontario shows that the performance of unadjusted weights architecture is comparable to other state-of-the-art approaches. Furthermore, when the architecture weights are adjusted the model accuracy surpassed the state-of-the-art method called LSTM one shot by 3.0%.;2020;Applications of Neural Network (e14);
22;Finite Difference Neural Networks: Fast Prediction of Partial Differential Equations;Finite difference neural networks, Partial differential equations, Hessian-free trust region method;Discovering the underlying behavior of complex systems is an important topic in many science and engineering disciplines. In this paper, we propose a novel neural network framework, finite difference neural networks (FD-Net), to learn partial differential equations from data. Specifically, our proposed finite difference inspired network is designed to learn the underlying governing partial differential equations from trajectory data, and to iteratively estimate the future dynamical behavior using only a few trainable parameters. We illustrate the performance (predictive power) of our framework on the heat equation, with and without noise and/or forcing, and compare our results to the Forward Euler method. Moreover, we show the advantages of using a Hessian-Free Trust Region method to train the network.;2020;Applications of Neural Network (e14);
23;Efficient and Compact Convolutional Neural Network Architectures for Non-temporal Real-time Fire Detection;fire detection, real-time, non-temporal, reduced complexity, convolutional neural network, superpixel localisation;Automatic visual fire detection is used to complement traditional fire detection sensor systems (smoke/heat). In this work, we investigate different Convolutional Neural Network (CNN) architectures and their variants for the non-temporal real-time bounds detection of fire pixel regions in video (or still) imagery. Two reduced complexity compact CNN architectures (NasNet-A-OnFire and ShuffleNetV2-OnFire) are proposed through experimental analysis to optimise the computational efficiency for this task. The results improve upon the current state-of-the-art solution for fire detection, achieving an accuracy of 95% for full-frame binary classification and 97% for superpixel localisation. We notably achieve a classification speed up by a factor of 2.3× for binary classification and 1.3× for superpixel localisation, with runtime of 40 fps and 18 fps respectively, outperforming prior work in the field presenting an efficient, robust and real-time solution for fire region detection. Subsequent implementation on low-powered devices (Nvidia Xavier-NX, achieving 49 fps for full-frame classification via ShuffleNetV2-OnFire) demonstrates our architectures are suitable for various real-world deployment applications.;2020;Applications of Neural Network (e14);
24;LB-CNN: Convolutional Neural Network with Latent Binarization for Large Scale Multi-class Classification;Binarization, Multi-class classification, Convolutional neural networks, Error correcting output codes, latent;Convolutional Neural Networks (CNNs) demonstrate state of the art performance in large scale multi-class image classification tasks. CNNs consist of convolution layers that progressively construct features and a classification layer. Typically, a softmax function is used in the classification layer to learn joint probabilities for the classes, which are subsequently used for class prediction. We refer to such an approach as the joint approach to multi-class classification. There exists another approach in the literature which determines the multi-class prediction outcome through a sequence of binary decisions, and is christened the class binarization approach. A popular type of class binarization is Error Correcting Output Codes (ECOC). In this paper, we propose to incorporate ECOC into CNNs by inserting a latent-binarization layer in a CNN's classification layer. This approach encapsulates both encoding and decoding steps of ECOC into a single CNN capable of discovering an optimal coding matrix during training. The latent-binarization layer is motivated by the family of latent-trait and latent-class models used in behavioral research. We call the proposed CNNs with Latent Binarization as LB-CNNs, and develop algorithms combining EM and back-propagation to train LB-CNNs. The proposed models and algorithms are applied to several image recognition tasks, producing excellent results. Furthermore, LB-CNNs can also enhance the interpretability of the decision process of CNNs.;2020;Applications of Neural Network (e14);
25;NGM: Neural Gaussian Mirror for Controlled Feature Selection in Neural Networks;Deep neural networks, false discovery rate control, kernel methods, interpretability;Deep neural networks (DNNs) have become increasingly popular and achieved outstanding performance in predictive tasks. However, the DNN framework itself cannot inform the user which features are more or less relevant for making the prediction, which limits its applicability in many scientific fields. We introduce neural Gaussian mirrors (NGMs), in which mirrored features are created, via a structured perturbation based on a kernel-based conditional dependence measure, to help evaluate feature importance. We design two modifications of the DNN architecture for incorporating mirrored features and providing mirror statistics to measure feature importance. As shown in simulated and real data examples, the proposed method controls the feature selection error rate at a predefined level and maintains a high selection power even with the presence of highly correlated features.;2020;Applications of Neural Network (e14);
26;Adaptive Algorithm for Estimation of Model of Neural Activity in Brain-Computer Interfaces;brain-computer interfaces, neurofeedback, autoregressive processes, adaptation models, robot control;In this paper, a method for forming the neuro-feedback (NFB) signal is suggested. The implementation of the method is based on the design of an adaptive model of subjects' neural activity in the form of a vector autoregression (VAR) model for capturing the spatio-temporal dynamics of an electroencephalogram (EEG). The adaptive model parameter adjustment algorithm is iterative and is designed using gradient methods for solving goal inequalities. At each stage of training, the control signal is first calculated. Then, based on the control signal, the model coefficients are modified. With the improvement of the EEG recording in the sense of its proximity to the desired one, the coefficients of the EEG model are recalculated. The proposed scheme has physiological analogues and is not directly related to the EEG model used in calculating the control effect. The proposed algorithm has advantages over other known algorithms because of its adaptability to each specific subject.;2020;Applications of Neural Network (e14);
27;Applying Gradient Boosting Trees and Stochastic Leaf Evaluation to MCTS on Hearthstone;Monte Carlo Tree Search, Gradient Boosting Trees, Hearthstone, Metastone, Stochastic Leaf Evaluation;Collectible card games are an interesting testing ground for artificial intelligence algorithms, mainly because of their stochasticity and high branching factor. In this work, the performance of a monte carlo tree search-based agent, enhanced with a gradient boosting tree classifier on the simulation phase, is investigated on Hearthstone. Furthermore, the impact of the combination of random simulations and the classifier's predictions is studied, as well as its correlation with the action space and the tree's depth. The aforementioned approach has been implemented in the Metastone framework and has been tested against the vanilla approach and the state-of-the-art algorithm, both provided by the framework itself. Over a set of evaluation games, it is demonstrated that the examined methodology significantly outperforms the vanilla-MCTS and is even matched with the heuristic-driven minimax algorithm.;2020;Clustering Methods with Applications (k9);
28;Discovering Gene-Disease Associations with Biomedical Word Embeddings;Machine Learning, Natural Language Processing, Biomedical Informatics, Drug Discovery;Finding the right target for a disease is critical in the drug development process. This paper presents a machine learning approach for predicting gene-disease associations that (i) employs biomedical word embeddings as features for a classifier trained on Open Targets Platform (OTP) data that (ii) generalises beyond a specific disease or gene class. We train, evaluate and compare different word embedding models and classifiers for the task at hand. We validate the approach by training on a past OTP release and show that it can assist in identifying probable positive associations among current low evidence associations, confirmed by a recent OTP release. Furthermore, we train word embedding models on different time slices of biomedical articles from ScienceDirect and demonstrate that the trained classifier predicts associations that have not explicitly been mentioned in the training corpus, 5 years into the future.;2020;Clustering Methods with Applications (k9);
29;Online Cluster Drift Detection for Novelty Detection in Data Streams;Concept drift, Novelty detection, Streaming data;A major challenge in data stream applications is the change in the target variable over time in unexpected ways, a phenomenon called concept drift (CD). Another challenge is the emergence of novel classes, soliciting novelty detection (ND) by, e.g., one-class or semi-supervised classification. But, in online ND, these two challenges interfere with each other although they should be dealt with jointly. We present the cluster drift detection (CDD) algorithm that, using a single hyper-parameter, performs offline clustering to learn the diverse normal profile, and detects online whether a never-seen-before example is novel or normal using a multivariate statistical test. If it is normal, the CDD uses this example to update the normal-profile cluster, enabling continuous CD monitoring. Experimental results using popular real-world and synthetic data sets, as well as a precision agriculture data set of banana plants under water stress and a COVID-19 data set demonstrate that the CDD algorithm: 1) distinguishes between normal and novel concepts more accurately than state-of-the-art algorithms, 2) provides information about why specific novel concepts are misdetected, and 3) is more robust to the complexity, drift, and noise in the problem than other algorithms.;2020;Clustering Methods with Applications (k9);
30;A clustering-based biased Monte Carlo approach to protein titration curve prediction;Markov Chain Monte Carlo (MCMC), Ensemble Averages, Energy Minimization, Discrete Optimization, Protein Titration;In this work, we developed an efficient approach to compute ensemble averages in systems with pairwise-additive energetic interactions between the entities. Methods involving full enumeration of the configuration space result in exponential complexity. Sampling methods such as Markov Chain Monte Carlo (MCMC) algorithms have been proposed to tackle the exponential complexity of these problems;2020;Clustering Methods with Applications (k9);
31;GCN with Clustering Coefficients and Attention Module;Graph, Graph Convolution Network, Attention module, Clustering Coefficient;Graph convolutional networks (GCN) exploit graph connectivity through their adjacency matrix. However, the assignment of equal importance to every one-hop neighbor and incognizance of intra-neighbor connectivity restricts its performance. Graph attention networks (GAT) address the problem of treating all neighbors equally by employing a self-attention mechanism, which encodes the node of interest using the weighted features of its one-hop neighbors. This imparts appropriate similarity based weight between connected nodes. The learning of weights of nodes takes into consideration the intra-neighbor connectivity between nodes common to a neighborhood. However, this ignores the nature of neighborhood of the node of interest. In this work, we propose to encode the nature of the neighborhood of a node onto itself by appropriately weighing the node's self-loop. The local clustering coefficient of a graph explores to what extent which nodes in a graph tend to bunch together. A vertex with a low clustering coefficient and a large degree shows connectivity between different classes. Similarly, a vertex with a high clustering coefficient and low degree represents tightly coupled similar vertices belonging to the same class. Thus, the node self-loop is initially weighed with the local clustering coefficient. Experiment results on the benchmark graph dataset, including Cora, Citeseer, and Pubmed, shows that even with sparse two layers, the local clustering coefficient based self-loop outperforms the baseline GCN by ≈ 3%. The Ablation study and learning curve prove that the proposed model remains stable and learns the optimal feature representation in comparatively less number of epochs.;2020;Clustering Methods with Applications (k9);
32;Anomaly Detection in Unsupervised Surveillance Setting Using Ensemble of Multimodal Data with Adversarial Defense;Unsupervised anomaly detection, AngleNet, Adversarial attack, IMU, Drone image, Auto-encoder;Autonomous aerial surveillance using drone feed is an interesting and challenging research domain. Along with surveillance, an autonomous device should be capable of detecting device malfunction or abnormality in real time. However, the inherent uncertainty embedded within the type and level of abnormality makes supervised techniques unsuitable since the adversary may present a unique anomaly for intrusion. To counter this, in this paper, we propose an unsupervised ensemble anomaly detection system to detect device anomaly of an unmanned drone analyzing multimodal data like images and IMU (Inertial Measurement Unit) sensor data synergistically. We have proposed AngleNet and used autoencoder to analyze image and IMU data, respectively and later ensembled the two pipelines for predicting degree of abnormality of the device. Furthermore, we have applied adversarial attack to test the robustness of the proposed approach and integrated defense mechanism. The proposed method performs satisfactorily on the IEEE SP Cup-2020 dataset with an accuracy of 97.8%.;2020;Clustering Methods with Applications (k9);
33;RAM-Net: A Residual Attention MobileNet to Detect COVID-19 Cases from Chest X-Ray Images;Dilated Depthwise Separable Convolution, Residual Blocks, Attention Augmented Convolution, MobileNet, COVID-19, Medical Image Analysis, CXR, Grad-CAM;In the last century, we have passed two severe pandemics;2020;Clustering Methods with Applications (k9);
34;Regression Ensembles for Fast Design Space Exploration of Heterogeneous Hardware Designs;regression models, hardware design, reconfigurable accelerators;In architectural design of embedded systems, machine learning (ML) has become a promising solution to provide robustness to the design space exploration (DSE) of large hardware designs. However, given the large diversity of embedded applications, a main challenge in the design of a high-accuracy predictor is to select one ML algorithm to encompass a wide range of applications. In this context, regression ensemble is a promising solution since it can use multiple models and combine their predictions. In this work we employ the use of ensemble methods to predict performance when running different applications in different heterogeneous designs composed of a general purpose processor (GPPs) and a reconfigurable accelerator (RA). In our investigation, we evaluate three ensemble methods, Random Forest, AdaBoosting and Gradient Boosting. So, we compare them to the most used regression algorithms found in literature to perform DSE of computer architectures. Results show an error prediction rate below 2% on average when using ensemble methods and a throughput of more than 5,000 predictions per second when using Gradient Boosting.;2020;Clustering Methods with Applications (k9);
35;Falsification-Based Robust Adversarial Reinforcement Learning;Reinforcement learning, adversarial learning, formal methods, autonomous driving, safety falsification;Reinforcement learning (RL) has achieved enormous progress in solving various sequential decision-making problems, such as control tasks in robotics. Since policies are overfitted to training environments, RL methods have often failed to be generalized to safety-critical test scenarios. Robust adversarial RL (RARL) was previously proposed to train an adversarial network that applies disturbances to a system, which improves the robustness in test scenarios. However, an issue of neural network-based adversaries is that integrating system requirements without handcrafting sophisticated reward signals are difficult. Safety falsification methods allow one to find a set of initial conditions and an input sequence, such that the system violates a given property formulated in temporal logic. In this paper, we propose falsification-based RARL (FRARL): this is the first generic framework for integrating temporal logic falsification in adversarial learning to improve policy robustness. By applying our falsification method, we do not need to construct an extra reward function for the adversary. Moreover, we evaluate our approach on a braking assistance system and an adaptive cruise control system of autonomous vehicles. Our experimental results demonstrate that policies trained with a falsification-based adversary generalize better and show less violation of the safety specification in test scenarios than those trained without an adversary or with an adversarial network.;2020;Optimization and Advanced Learning Methods (l8);
