dblp_title,dblp_authors,dblp_pages,ieee_url
Deep Metric Learning for Proteomics.,"Mark Lennox, Neil Robertson, Barry Devereux",308-313,https://doi.org/10.1109/ICMLA51294.2020.00057
Automatic generation of reviews of scientific papers.,"Anna Nikiforovskaya, Nikolai Kapralov, Anna Vlasova, Oleg Shpynov, Aleksei Shpilman",314-319,https://doi.org/10.1109/ICMLA51294.2020.00058
TransCrossCF: Transition-based Cross-Domain Collaborative Filtering.,"Thanh-Nam Doan, Shaghayegh Sahebi",320-327,https://doi.org/10.1109/ICMLA51294.2020.00059
Semantic Nonnegative Matrix Factorization with Automatic Model Determination for Topic Modeling.,"Raviteja Vangara, Erik Skau, Gopinath Chennupati, Hristo N. Djidjev, Thomas Tierney, James P. Smith, Manish Bhattarai, Valentin G. Stanev, Boian S. Alexandrov",328-335,https://doi.org/10.1109/ICMLA51294.2020.00060
Interpreting Attention Models: LSTM vs. CNN : A case study on customer activation.,"Koen Weterings, Shir-Lee Kimelman, Stefano Bromuri, Marko C. J. D. van Eekelen",336-343,https://doi.org/10.1109/ICMLA51294.2020.00061
K-metamodes: frequency-and ensemble-based distributed k-modes clustering for security analytics.,"Andrey Sapegin, Christoph Meinel",344-351,https://doi.org/10.1109/ICMLA51294.2020.00062
Linguistic Features for Detecting Fake Reviews.,"Faranak Abri, Luis Felipe Gutiérrez, Akbar Siami Namin, Keith S. Jones, David R. W. Sears",352-359,https://doi.org/10.1109/ICMLA51294.2020.00063
Unsupervised Open Set Recognition using Adversarial Autoencoders.,"Mehadi Hassen, Philip K. Chan",360-365,https://doi.org/10.1109/ICMLA51294.2020.00064
Tuberculosis Bacilli Identification: A Novel Feature Extraction Approach via Statistical Shape and Color Models.,"Hamed Yousefi, Farnaz Mohammadi, Niloufar Mirian, Navid Amini",366-371,https://doi.org/10.1109/ICMLA51294.2020.00065
cFAT-GAN: Conditional Simulation of Electron-Proton Scattering Events with Variate Beam Energies by a Feature Augmented and Transformed Generative Adversarial Network.,"Luisa Velasco, Evan McClellan, Nobuo Sato, Pawel Ambrozewicz, Tianbo Liu, Wally Melnitchouk, Michelle P. Kuchera, Yasir Alanazi, Yaohang Li",372-375,https://doi.org/10.1109/ICMLA51294.2020.00066
DeepGamble: Towards unlocking real-time player intelligence using multi-layer instance segmentation and attribute detection.,"Danish Syed, Naman Gandhi, Arushi Arora, Nilesh Kadam",376-383,https://doi.org/10.1109/ICMLA51294.2020.00067
Ensemble CNN in Transform Domains for Image Super-resolution from Small Data Sets.,"Yingnan Liu, Randy Clinton Paffenroth",384-391,https://doi.org/10.1109/ICMLA51294.2020.00068
PENet: Object Detection Using Points Estimation in High Definition Aerial Images.,"Ziyang Tang, Xiang Liu, Baijian Yang",392-398,https://doi.org/10.1109/ICMLA51294.2020.00069
EVISClass: a new evaluation method for image data stream classifiers.,"Mateus Curcino de Lima, Maria Camila Nardini Barioni, Elaine R. Faria, Humberto Luiz Razente",399-406,https://doi.org/10.1109/ICMLA51294.2020.00070
Conditional Score Matching for Image to Image Regression.,"Hao Xin, Michael Yu Zhu",407-414,https://doi.org/10.1109/ICMLA51294.2020.00071
Evaluating The Number of Trainable Parameters on Deep Maxout and LReLU Networks for Visual Recognition.,"Gabriel Castaneda, Paul Morris, Taghi M. Khoshgoftaar",415-421,https://doi.org/10.1109/ICMLA51294.2020.00072
Enhanced Anisotropic Diffusion-based CNN-LSTM Architecture for Video Face Liveness Detection.,"Ranjana Koshy, Ausif Mahmood",422-425,https://doi.org/10.1109/ICMLA51294.2020.00074
Loss Scheduling for Class-Imbalanced Image Segmentation Problems.,"Oskar Taubert, Markus Götz, Alexander Schug, Achim Streit",426-431,https://doi.org/10.1109/ICMLA51294.2020.00073
Refined Plane Segmentation for Cuboid-Shaped Objects by Leveraging Edge Detection.,"Alexander Naumann, Laura Dörr, Niels Ole Salscheider, Kai Furmans",432-437,https://doi.org/10.1109/ICMLA51294.2020.00096
Deep Learning Based Covert Attack Identification for Industrial Control Systems.,"Dan Li, Paritosh Ramanan, Nagi Gebraeel, Kamran Paynabar",438-445,https://doi.org/10.1109/ICMLA51294.2020.00075
Deep Learning for Automatic Quality Grading of Mangoes: Methods and Insights.,"Shih-Lun Wu, Hsiao-Yen Tung, Yu-Lun Hsu",446-453,https://doi.org/10.1109/ICMLA51294.2020.00076
A Deep Learning Framework for Ensuring Responsible Play in Skill-based Cash Gaming.,"Deepanshi Seth, Sharanya Eswaran, Tridib Mukherjee, Mridul Sachdeva",454-459,https://doi.org/10.1109/ICMLA51294.2020.00077
Rapid Class Augmentation For Continuous Deep Learning Applications.,Hanna E. Witzgall,460-466,https://doi.org/10.1109/ICMLA51294.2020.00078
Crafting Adversarial Examples for Deep Learning Based Prognostics.,"Gautam Raj Mode, Khaza Anuarul Hoque",467-472,https://doi.org/10.1109/ICMLA51294.2020.00079
Efficient Defect Detection from Consecutive Monocular Images by Deep Learning.,"Truong Vinh Truong Duy, Naotake Natori",473-478,https://doi.org/10.1109/ICMLA51294.2020.00080
Theoretical Analysis of the Advantage of Deepening Neural Networks.,"Yasushi Esaki, Yuta Nakahara, Toshiyasu Matsushima",479-484,https://doi.org/10.1109/ICMLA51294.2020.00081
Heart Audio Classification Using Deep Learning.,"Arooshi Taneja, Yashvi Gulati, Tushar Chugh, Pawan Joshi, Narina Thakur",485-488,https://doi.org/10.1109/ICMLA51294.2020.00082
Deep Learning-based Symbolic Indoor Positioning using the Serving eNodeB.,"Fahad Al-homayani, Mohammad H. Mahoor",489-494,https://doi.org/10.1109/ICMLA51294.2020.00083
Generalized Adversarial Distances to Efficiently Discover Classifier Errors.,"Walter D. Bennette, Sally Dufek, Karsten Maurer, Sean Sisti, Bunyod Tusmatov",495-502,https://doi.org/10.1109/ICMLA51294.2020.00084
Segmentation of Multi-State Compound Waveform and Extraction of Features for Anomaly Detection.,"Topon Kumar Paul, Takeichiro Nishikawa, Shigeru Maya, Akihiro Itakura, Toshihide Kawachi, Akira Ogawa, Hiroshi Yokota",503-510,https://doi.org/10.1109/ICMLA51294.2020.00085
Kernel Ridge Regression Using Importance Sampling with Application to Seismic Response Prediction.,"Farhad Pourkamali-Anaraki, Mohammad Amin Hariri-Ardebili, Lydia Morawiec",511-518,https://doi.org/10.1109/ICMLA51294.2020.00086
HASeparator: Hyperplane-Assisted Softmax.,"Ioannis Kansizoglou, Nicholas Santavas, Loukas Bampis, Antonios Gasteratos",519-526,https://doi.org/10.1109/ICMLA51294.2020.00087
Dimension Estimation Using Autoencoders with Applications to Financial Market Analysis.,"Nitish Bahadur, Randy C. Paffenroth",527-534,https://doi.org/10.1109/ICMLA51294.2020.00088
An Investigation of Dynamic Feature Selection Methods Applied to Classifier Ensembles.,"Rômulo de O. Nunes, Carine A. Dantas, Anne M. P. Canuto, João Carlos Xavier Jr.",535-538,https://doi.org/10.1109/ICMLA51294.2020.00089
Domain adaptation from clinical trials data to the tertiary care clinic - Application to ALS.,"Ben Hadad, Boaz Lerner",539-544,https://doi.org/10.1109/ICMLA51294.2020.00090
Improving Fraud Detection and Concept Drift Adaptation in Credit Card Transactions Using Incremental Gradient Boosting Trees.,"Baris Bayram, Bilge Köroglu, Mehmet Gönen",545-550,https://doi.org/10.1109/ICMLA51294.2020.00091
Spatio-Temporal Change Detection with Granger Causality Based Cluster Sequence Mining.,"Nat Pavasant, Masayuki Numao, Ken-ichi Fukui",551-558,https://doi.org/10.1109/ICMLA51294.2020.00092
CAE: Towards Crowd Anarchism Exploration.,"Mayamin Hamid Raha, Tonmoay Deb, Mahieyin Rahmun, Shahriar Ali Bijoy, Adnan Firoze, Mohammad Ashrafuzzaman Khan",559-564,https://doi.org/10.1109/ICMLA51294.2020.00093
f2tag - Can Tags be Predicted Using Formulas?,"Sebastian Wankerl, Gerhard Götz, Andreas Hotho",565-571,https://doi.org/10.1109/ICMLA51294.2020.00094
Performance of CatBoost and XGBoost in Medicare Fraud Detection.,"John T. Hancock, Taghi M. Khoshgoftaar",572-579,https://doi.org/10.1109/ICMLA51294.2020.00095
CQ-VAE: Coordinate Quantized VAE for Uncertainty Estimation with Application to Disk Shape Analysis from Lumbar Spine MRI Images.,"Linchen Qian, Jiasong Chen, Timur Urakov, Weiyong Gu, Liang Liang",580-585,https://doi.org/10.1109/ICMLA51294.2020.00097
Towards logical association rule mining on ontology-based semantic trajectories.,"Antonio Carlos Falcão Petri, Diego Furtado Silva",586-591,https://doi.org/10.1109/ICMLA51294.2020.00098
Analysis of COVID-19 in different countries using Wigner energy distribution and clustering.,Ranjani Murali,592-597,https://doi.org/10.1109/ICMLA51294.2020.00099
Accurate Characterization of Non-Uniformly Sampled Time Series using Stochastic Differential Equations.,Stijn de Waele,598-603,https://doi.org/10.1109/ICMLA51294.2020.00100
HybriDG: Hybrid Dynamic Time Warping and Gaussian Distribution Model for Detecting Emerging Zero-Day Microarchitectural Side-Channel Attacks.,"Han Wang, Hossein Sayadi, Avesta Sasan, Setareh Rafatirad, Houman Homayoun",604-611,https://doi.org/10.1109/ICMLA51294.2020.00101
LOCO: Logistics Objects in Context.,"Christopher Mayershofer, Dimitrij-Marian Holm, Benjamin Molter, Johannes Fottner",612-617,https://doi.org/10.1109/ICMLA51294.2020.00102
Dense Broad Learning System with Proportional Integral Differential and Adaptive Moment Estimation.,"Weidong Zou, Yuanqing Xia, Weipeng Cao",618-625,https://doi.org/10.1109/ICMLA51294.2020.00103
Benchmarking Machine Learning Solutions in Production.,"Lucas Cardoso Silva, Fernando Rezende Zagatti, Bruno Silva Sette, Lucas Nildaimon dos Santos Silva, Daniel Lucrédio, Diego Furtado Silva, Helena de Medeiros Caseli",626-633,https://doi.org/10.1109/ICMLA51294.2020.00104
Forecasting Rogue Waves in Oceanic Waters.,"Pujan Pokhrel, Elias Ioup, Md. Tamjidul Hoque, Mahdi Abdelguerfi, Julian Simeonov",634-640,https://doi.org/10.1109/ICMLA51294.2020.00105
Combining Temporal Event Relations and Pre-Trained Language Models for Text Summarization.,Divyanshu Daiya,641-646,https://doi.org/10.1109/ICMLA51294.2020.00106
Multi-Class Object Detection Using 2D Poses.,"Christopher Mayershofer, Ala Hammami, Johannes Fottner",647-652,https://doi.org/10.1109/ICMLA51294.2020.00107
A Collaborative Filtering Approach to Successfully Completing The Marathon.,"Jakim Berndsen, Barry Smyth, Aonghus Lawlor",653-658,https://doi.org/10.1109/ICMLA51294.2020.00108
Distance-Based Multivariate Anomaly Detection in Wire Arc Additive Manufacturing.,"Raven Reisch, Tobias Hauser, Benjamin Lutz, Matteo Pantano, Tobias Kamps, Alois C. Knoll",659-664,https://doi.org/10.1109/ICMLA51294.2020.00109
pReview: The Artificially Intelligent Conference Reviewer.,"Jesse Roberts, Douglas H. Fisher",665-668,https://doi.org/10.1109/ICMLA51294.2020.00110
On Analyzing COVID-19-related Hate Speech Using BERT Attention.,"Nishant Vishwamitra, Ruijia (Roger) Hu, Feng Luo, Long Cheng, Matthew Costello, Yin Yang",669-676,https://doi.org/10.1109/ICMLA51294.2020.00111
Real-World Multi-Domain Data Applications for Generalizations to Clinical Settings.,"Nooshin Mojab, Vahid Noroozi, Darvin Yi, Manoj Prabhakar Nallabothula, Abdullah Aleem, Philip S. Yu, Joelle A. Hallak",677-684,https://doi.org/10.1109/ICMLA51294.2020.00112
Robust Detection of Objects under Periodic Motion with Gaussian Process Filtering.,"Joris Guérin, Anne Magály de Paula Canuto, Luiz Marcos Garcia Gonçalves",685-692,https://doi.org/10.1109/ICMLA51294.2020.00113
Dual-encoder Bidirectional Generative Adversarial Networks for Anomaly Detection.,"Teguh Budianto, Tomohiro Nakai, Kazunori Imoto, Takahiro Takimoto, Kosuke Haruki",693-700,https://doi.org/10.1109/ICMLA51294.2020.00114
Finding and Segmenting Mathematical Equations in Students' Online Handwritten Assignments.,"Amirali Darvishzadeh, Thomas F. Stahovich",701-708,https://doi.org/10.1109/ICMLA51294.2020.00115
MuSeM: Detecting Incongruent News Headlines using Mutual Attentive Semantic Matching.,"Rahul Mishra, Piyush Yadav, Rémi Calizzano, Markus Leippold",709-716,https://doi.org/10.1109/ICMLA51294.2020.00116
Lower Bounds for Adversarially Robust PAC Learning under Evasion and Hybrid Attacks.,"Dimitrios I. Diochnos, Saeed Mahloujifar, Mohammad Mahmoody",717-722,https://doi.org/10.1109/ICMLA51294.2020.00117
Predicting purchase probability of retail items using an ensemble learning approach and historical data.,"Archika Sharma, M. Omair Shafiq",723-728,https://doi.org/10.1109/ICMLA51294.2020.00118
Blockchain-Based Federated Learning Against End-Point Adversarial Data Corruption.,"Yuwei Sun, Hiroshi Esaki, Hideya Ochiai",729-734,https://doi.org/10.1109/ICMLA51294.2020.00119
Federated Learning of Neural Network Models with Heterogeneous Structures.,"Kundjanasith Thonglek, Keichi Takahashi, Kohei Ichikawa, Hajimu Iida, Chawanat Nakasan",735-740,https://doi.org/10.1109/ICMLA51294.2020.00120
Learning Uncertainties in Wheel Odometry for Vehicular Localisation in GNSS Deprived Environments.,"Uche Onyekpe, Vasile Palade, Stratis Kanarachos, Stavros-Richard G. Christopoulos",741-746,https://doi.org/10.1109/ICMLA51294.2020.00121
CRUFT: Context Recognition under Uncertainty using Fusion and Temporal Learning.,"Wen Ge, Emmanuel Agu",747-752,https://doi.org/10.1109/ICMLA51294.2020.00122
Forecasting Attrition from the Canadian Armed Forces using Multivariate LSTM.,"Ryuichi Ueno, Dragos Calitoiu",753-758,https://doi.org/10.1109/ICMLA51294.2020.00123
Using Undersampling with Ensemble Learning to Identify Factors Contributing to Preterm Birth.,"Shi Dong, Zlatan Feric, Guangyu Li, Chieh Wu, April Z. Gu, Jennifer G. Dy, John Meeker, Ingrid Y. Padilla, José Cordero, Carmen Velez Vega, Zaira Rosario, Akram Alshawabkeh, David R. Kaeli",759-764,https://doi.org/10.1109/ICMLA51294.2020.00124
N-BEATS-RNN: deep learning for time series forecasting.,"Attilio Sbrana, André Luis Debiaso Rossi, Murilo Coelho Naldi",765-768,https://doi.org/10.1109/ICMLA51294.2020.00125
Partly Supervised Multi-Task Learning.,"Abdullah-Al-Zubaer Imran, Chao Huang, Hui Tang, Wei Fan, Yuan Xiao, Dingjun Hao, Zhen Qian, Demetri Terzopoulos",769-774,https://doi.org/10.1109/ICMLA51294.2020.00126
Towards Machine Learning Explainability in Text Classification for Fake News Detection.,"Lukas Kurasinski, Radu-Casian Mihailescu",775-781,https://doi.org/10.1109/ICMLA51294.2020.00127
DEDPUL: Difference-of-Estimated-Densities-based Positive-Unlabeled Learning.,Dmitry Ivanov,782-790,https://doi.org/10.1109/ICMLA51294.2020.00128
Audio-based Depression Screening using Sliding Window Sub-clip Pooling.,"Ermal Toto, M. L. Tlachac, Francis Lee Stevens, Elke A. Rundensteiner",791-796,https://doi.org/10.1109/ICMLA51294.2020.00129
Using Text Analytics on Reflective Journaling to Identify Cultural Capitals for STEM Students.,"Karuna Nayak, Shailesh Krishna, Khanh Tran, Marissa Harris, Ana Maria Barrera, Kim Coble, Anagha Kulkarni",797-804,https://doi.org/10.1109/ICMLA51294.2020.00130
Application of Machine Learning to Gasoline Direct Injection Systems: Towards a Data-Driven Development.,"Massimiliano Botticelli, Robin Hellmann, Paul Jochmann, Karl Georg Stapf, Erik Schünemann",805-810,https://doi.org/10.1109/ICMLA51294.2020.00131
Resource Management in Cloud Computing Using Machine Learning: A Survey.,"Sepideh Goodarzy, Maziyar Nazari, Richard Han, Eric Keller, Eric Rozner",811-816,https://doi.org/10.1109/ICMLA51294.2020.00132
"Machine Learning Fairness in Justice Systems: Base Rates, False Positives, and False Negatives.",Jesse Russell,817-820,https://doi.org/10.1109/ICMLA51294.2020.00133
Pixel-Level Feature Space Modeling and Brain Tumor Detection Using Machine Learning.,"Ritu Joshi, Shan Suthaharan",821-826,https://doi.org/10.1109/ICMLA51294.2020.00134
A Methodology for Estimating Hospital Intensive Care Unit Length of Stay Using Novel Machine Learning Tools.,"Roberto Williams Batista, Reinaldo Sanchez-Arias",827-832,https://doi.org/10.1109/ICMLA51294.2020.00135
Districts by Demographics: Predicting U.S. House of Representative Elections using Machine Learning and Demographic Data.,"Britt Richardson, Dean F. Hougen",833-838,https://doi.org/10.1109/ICMLA51294.2020.00136
Enhance CNN Robustness Against Noises for Classification of 12-Lead ECG with Variable Length.,"Linhai Ma, Liang Liang",839-846,https://doi.org/10.1109/ICMLA51294.2020.00137
Accelerated Deep Learning on HPCC Systems.,"Robert K. L. Kennedy, Taghi M. Khoshgoftaar",847-852,https://doi.org/10.1109/ICMLA51294.2020.00138
Detection of Reckless Driving using Deep Learning.,"Arun Chauhan, Shobhan Kumar, Lakshman Mahto, Jagadish D. N.",853-858,https://doi.org/10.1109/ICMLA51294.2020.00139
Deep Learning based Time Series Forecasting.,"Kushagra Agarwal, Lalasa Dheekollu, Gaurav Dhama, Ankur Arora, Siddhartha Asthana, Tanmoy Bhowmik",859-864,https://doi.org/10.1109/ICMLA51294.2020.00140
DEAL: Deep Evidential Active Learning for Image Classification.,"Patrick Hemmer, Niklas Kühl, Jakob Schöffer",865-870,https://doi.org/10.1109/ICMLA51294.2020.00141
Resource-aware On-device Deep Learning for Supermarket Hazard Detection.,"M. G. Sarwar Murshed, James J. Carroll, Nazar Khan, Faraz Hussain",871-876,https://doi.org/10.1109/ICMLA51294.2020.00142
Generalization of iterative sampling in autoencoders.,"Miguel Solinas, Clovis Galiez, Romain Cohendet, Stephane Rousset, Marina Reyboz, Martial Mermillod",877-882,https://doi.org/10.1109/ICMLA51294.2020.00143
Estimating the Effect of General Health Checkup Using Uncertainty Aware Attention of Deep Instrument Variable 2-Stage Network.,"SangKyun Jo, Duk Bin Jun, Sungho Park",883-888,https://doi.org/10.1109/ICMLA51294.2020.00144
Deduplication of Advertisement Assets Using Deep Learning Ensembles.,"Abhijith Chakiat, Nishant Oli, Varun Kumar Modi",889-894,https://doi.org/10.1109/ICMLA51294.2020.00145
Predicting Residential Energy Consumption Using Wavelet Decomposition With Deep Neural Network.,"Dagimawi D. Eneyew, Miriam A. M. Capretz, Girma T. Bitsuamlak, Syed Mir",895-900,https://doi.org/10.1109/ICMLA51294.2020.00146
